  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
 16  10  -0.392 1.191 -0.493 0.899 0.877   14.0764 10.8760 7.6765
 17  10  -0.320 0.790 -0.299 0.819 0.824   13.7385 10.6752 7.7278
 18  10  -0.292 -0.171 -0.426 0.796 0.785   13.6671 10.6744 7.9059
 19  10  0.007 -0.119 0.811 0.484 0.506   13.0450 10.2381 7.3550
 20  10  0.373 0.690 -0.198 0.222 0.000   14.3878 11.3297 8.7835
 21  10  -0.033 1.072 -0.510 0.654 0.208   13.6805 10.4642 7.3224
 22  10  0.094 0.065 0.471 0.402 0.411   13.3578 10.3512 7.4704
 23  10  0.293 0.386 0.362 0.201 0.216   13.7761 10.8043 8.0868
 24  10  -0.285 1.127 -0.302 0.784 0.785   13.9538 10.7870 7.5377
 25  10  -0.117 0.576 -0.108 0.616 0.617   13.1130 10.0863 7.1072
 26  10  0.020 -0.172 0.816 0.463 0.506   13.3017 10.3157 7.3820
 27  10  -0.251 -0.256 -0.210 0.750 0.751   13.4060 10.5623 7.9517
 28  10  -0.125 -0.192 0.031 0.621 0.631   13.1872 10.1931 7.3405
 29  10  -0.103 -0.097 0.751 0.605 0.600   13.2488 10.2869 7.4066
 30  10  -0.069 -0.725 1.320 0.470 0.718   13.6586 10.8191 7.8395
 31  10  -0.005 0.037 0.301 0.484 0.540   13.0083 9.9865 7.0948
 32  10  -0.093 -0.204 0.126 0.586 0.603   13.0779 10.1263 7.3795
 33  10  0.034 -0.204 0.798 0.427 0.516   13.2320 10.4636 7.7584
 34  10  0.028 0.586 -0.015 0.480 0.452   13.4249 10.3171 7.3698
 35  10  0.093 0.097 0.039 0.405 0.410   13.4057 10.3812 7.5069
 36  10  0.085 -0.021 0.606 0.404 0.430   13.2498 10.2662 7.5021
 37  10  0.000 -0.233 0.522 0.489 0.518   13.1683 10.2318 7.4443
 38  10  -0.009 -0.056 0.698 0.506 0.513   12.9906 10.0918 7.1883
 39  10  -0.148 0.824 -0.202 0.652 0.638   12.9200 9.9878 7.0483
 40  10  0.068 0.302 0.192 0.440 0.414   13.0236 10.0501 7.2204
 41  10  -0.287 -0.398 -0.094 0.781 0.796   13.3364 10.4725 7.6845
 42  10  -0.332 -0.356 -0.079 0.831 0.835   13.7294 10.9154 8.2248
 43  10  -0.260 0.297 -0.279 0.761 0.759   13.4684 10.3200 7.3355
 44  10  -0.120 0.385 -0.092 0.618 0.624   13.4728 10.3618 7.3026
 45  10  0.198 0.381 0.152 0.308 0.288   13.6306 10.6264 7.7612
 46  10  -0.252 0.042 -0.199 0.748 0.757   13.4151 10.3648 7.4496
 47  10  -0.360 -0.790 0.009 0.848 0.882   14.1323 11.2879 8.5855
 48  10  -0.032 -0.091 0.012 0.530 0.535   12.8457 9.8809 7.0832
 49  10  -0.139 -0.275 0.633 0.626 0.659   13.5696 10.4938 7.5488
 50  10  -0.316 1.643 -0.976 0.926 0.559   14.1080 10.8049 7.2692
 51  10  -0.156 -0.296 0.437 0.650 0.665   12.9877 10.2763 7.5768
 52  10  0.308 0.545 -0.178 0.212 0.160   13.7678 10.8997 8.3595
